id;wbs;name;description;ct_id;pm_id;created_at;updated_at
1;3079P00005;Norte Sogamoso Nva Esperanza SAS Scope;To Update;;Diana Gonzalez;;
2;3079P00085;SAS SUROCCIDENTE 500 KV;To Update;;Diana Gonzalez;;
3;3079P00100;CDK ECOPETROL GA;To Update;;REINA German;;
4;3079P00104;GE PACKAGED TERMOYOPAL GA;To Update;;Jaime Gonzalez;;
5;3079PT0170;Puerto Napo GA;To Update;;Diana Gonzalez;;
6;3079PT0225;TRANSELEC SER-031-C S/E Digitales Itahue;To Update;;Diana Gonzalez;;
7;5165PA0990-01;SYS VENEZOLA MONTA SE TROPICANA;To Update;;Vidal Montiel;;
8;5165PA1016;SYST 202 SLT 1114 1A FASE 2A CONVOCATORI;To Update;;ARELLANO Juan Luis;;
9;5165PA1077;SYST VENEZOLANA MONTAJES SUMINISTRO Y SE;To Update;;ARELLANO Juan Luis;;
10;5165PA1104;SYST ROMA M COGENERACION SUMINISTRO Y SE;To Update;;ARELLANO Juan Luis;;
11;5165PA1431;ROMA COGENERACION TABLERO MCAD;To Update;;ARELLANO Juan Luis;;
12;5165PA1485;SYS DMGP;To Update;;ARELLANO Juan Luis;;
13;5165PA1686;SUPP  ACS Bogota Colombia;To Update;;ARELLANO Juan Luis;;
14;5165PA1732;SUPP ACS Bogota Colombia;To Update;;ARELLANO Juan Luis;;
15;5165PA1733;SYS SNC Engineering  & Construction;To Update;;ARELLANO Juan Luis;;
16;5165PA1810;SYS ROMAGNOLE PRODUCTS ELECTRICOS;To Update;;Vidal Montiel;;
17;5165PA1853;SYS ALSTOM Mexico METRORREY CONTROL;To Update;;Vidal Montiel;;
18;5165PA1863;SUPP ACS Bogota Colombia;To Update;;Vidal Montiel;;
19;5165PA1919;SUPP  AMS Mexico City Mexico;To Update;;Vidal Montiel;;
20;5165PA1925;SUPP. ARGOS PANAMA S.A;To Update;;Vidal Montiel;;
;5165PA1930;SUPP �SER CSS Santiago Chile;To Update;;Vidal Montiel;;
;5165PA1959;SUPP ALSTOM Mexico SA de CV;To Update;;Vidal Montiel;;
;5165PA1969;CFE;To Update;;Vidal Montiel;;
;5165PA1972;ENERSET POWER SOLUTIONS ZULIA 10;To Update;;Vidal Montiel;;
;5165PA1974;SYS. CELMEC;To Update;;Vidal Montiel;;
;5165PA1975;ALSTOM Mexico SA de CV ADD METRORREY;To Update;;Vidal Montiel;;
;5165PA1977;SUPP ALSTOM MEXICANA;To Update;;Vidal Montiel;;
;5165PA1986;SUPP ALSTOM MEXICANA;To Update;;Vidal Montiel;;
;5165PA1996;SUPP. ARGOS PANAMA S.A;To Update;;Vidal Montiel;;
;5165PA1999;SUPP CELMEC PANAMA;To Update;;Vidal Montiel;;
;5165PA2005;SUPP MEXICANA HUMERO 3;To Update;;Vidal Montiel;;
;5165PA2006;SYS PEM PARRAS;To Update;;Vidal Montiel;;
;5165PA2050;SYS ISEPSA;To Update;;Vidal Montiel;;
;5165PA2059;GE MULTILIN;To Update;;Vidal Montiel;;
;5165PA2060;SYS AMS Mexico City Mexico;To Update;;Vidal Montiel;;
;5165PA2063;SYS. AVANZIA ENERGIA;To Update;;Vidal Montiel;;
;5165PA2065;CELMEC;To Update;;Vidal Montiel;;
;5165PA2069;SUPP. Grid Solutions TE Ltda;To Update;;Vidal Montiel;;
;5165PA2078;ELECTRICIDAD AGUILA DE TUXPAN;To Update;;Vidal Montiel;;
;5165PA2081;SUP ALSTOM MEXICANA CCC HERMOSILLO;To Update;;Vidal Montiel;;
;5165PA2082;2030 ALTOS HORNOS DE MEXICO;To Update;;Vidal Montiel;;
;5165PA2088;2030 GRID SOLUTIONS TE LTDA (BRASIL);To Update;;Vidal Montiel;;
;5165PA2094;2030 GUIEHR SUPPORT;To Update;;Vidal Montiel;;
;5165PA2096;2029 SNC ENGINEERING & CONSTRUCTION OVER;To Update;;Vidal Montiel;;
;5165PA2097;2030 AVANZIA ENERGIA OVERTIME;To Update;;Vidal Montiel;;
;5165PA2098;2030 AVANZIA ENERGIA OVERTIME PV OREJANA;To Update;;Vidal Montiel;;
;5165PA2100;2030 TENARIS TAMSA OVERTIME;To Update;;Vidal Montiel;;
;5165PA2102;2030 SESELEC OVERTIME DEF;OK;;Ricardo Lopez;;
;5165PA2103;2030 ALSTOM MEXICANA OVERTIME;OK;;Ricardo Lopez;;
;5165PA2104;2030 SESELEC OVERTIME SUPPORT;OK;;Ricardo Lopez;;
;5165PA2105;2030 TAMSA OVERTIME SUPPORT;OK;;Ricardo Lopez;;
;5165PA2108;2030 TAMSA OVERTIME SUPPORT;OK;;Ricardo Lopez;;
;5165PA2109;2030 TAMSA OVERTIME SUPPORT;OK;;Ricardo Lopez;;
;5165PA2110;2030 GE Global Services GmbH OVERTIME Su;OK;;Ricardo Lopez;;
;5165PA2111;2030 Alstom Mexicana OVERTIME SUPPORT;OK;;Ricardo Lopez;;
;5165PA2112;2029 Salco OVERTIME SYSTEM;OK;;Ricardo Lopez;;
;5165PA2114;2030 TAMSA OVERTIME POINT IN TIME;OK;;Ricardo Lopez;;
;5165PA2115;2029 AGUILA DE ALTAMIRA II OVERTIME SYST;OK;;Ricardo Lopez;;
;5194P0149;ELENCOR 0020_BR_GA_SUP/2018_REV03;To Update;;Ana Bizaroli;;
;5194P0150;ELENCOR  No. 0182_BR_GA_SUP/2017_REV02;To Update;;Ana Bizaroli;;
